organisation_name,organisation_id,"There is a Board-led digital programme(s), supported by effective operational IT delivery.",Projects and programmes follow standard project management methodologies to allocate roles and responsibilities.,Digital projects are underpinned by valid business cases and fully-engaged business owners.,"Following deployment, your organisation evaluates the benefits of digital projects using a consistent approach.",Your organisation adopts industry recognised principles outlined in best practice guidelines relating to digital services.,Clinical governance is embedded throughout the lifecycle of digital projects.
Aintree University Hospital NHS Foundation Trust,REM,100,75,75,75,100,75
Airedale NHS Foundation Trust,RCF,100,75,100,50,100,50
Alder Hey Childrens NHS Foundation Trust,RBS,100,100,100,100,75,100
Ashford and St Peters Hospitals NHS Foundation Trust,RTK,100,100,100,75,75,100
"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,75,75,75,25,75,50
Barnsley Hospital NHS Foundation Trust,RFF,100,75,75,75,25,50
Barts Health NHS Trust,R1H,50,75,75,25,50,75
Basildon and Thurrock University Hospitals NHS Foundation Trust,RDD,75,100,100,75,75,75
Bedford Hospital NHS Trust,RC1,100,100,75,75,75,100
Birmingham Women's and Children's NHS Foundation Trust,RLU,100,100,75,50,75,75
Blackpool Teaching Hospitals NHS Foundation Trust,RXL,100,100,75,75,100,100
Bolton NHS Foundation Trust,RMC,100,100,100,75,75,25
Bradford Teaching Hospitals NHS Foundation Trust,RAE,100,100,100,100,100,100
Brighton and Sussex University Hospitals NHS Trust,RXH,25,75,75,25,75,25
Buckinghamshire Healthcare NHS Trust,RXQ,25,75,50,0,50,75
Burton Hospitals NHS Foundation Trust,RJF,25,75,75,75,75,50
Calderdale and Huddersfield NHS Foundation Trust,RWY,100,100,100,100,100,100
Cambridge University Hospitals NHS Foundation Trust,RGT,100,100,100,100,100,100
Central Manchester University Hospitals NHS Foundation Trust,RW3,100,100,75,50,75,75
Chelsea and Westminster Hospital NHS Foundation Trust,RQM,100,100,100,100,100,100
Chesterfield Royal Hospital NHS Foundation Trust,RFS,25,75,50,50,50,50
Christie NHS Foundation Trust,RBV,100,100,100,50,50,100
City Hospitals Sunderland NHS Foundation Trust,RLN,100,100,100,100,75,100
Clatterbridge Cancer Centre NHS Foundation Trust,REN,75,75,75,75,75,75
Colchester Hospital University NHS Foundation Trust,RDE,100,100,100,100,100,100
Countess Of Chester Hospital NHS Foundation Trust,RJR,75,75,75,50,50,75
County Durham and Darlington NHS Foundation Trust,RXP,100,100,100,100,100,100
Croydon Health Services NHS Trust,RJ6,100,100,100,25,50,50
Dartford and Gravesham NHS Trust,RN7,100,100,100,75,100,100
Derby Teaching Hospitals NHS Foundation Trust,RTG,75,75,75,50,75,75
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,RP5,100,75,100,50,75,75
Dorset County Hospital NHS Foundation Trust,RBD,100,75,75,75,25,50
Dudley Group NHS Foundation Trust,RNA,100,100,100,100,100,100
East and North Hertfordshire NHS Trust,RWH,50,100,100,75,50,75
East Cheshire NHS Trust,RJN,75,75,75,75,75,75
East Kent Hospitals University NHS Foundation Trust,RVV,100,100,100,75,75,100
East Lancashire Hospitals NHS Trust,RXR,100,100,75,100,75,100
East Sussex Healthcare NHS Trust,RXC,75,100,100,75,75,75
Epsom and St Helier University Hospitals NHS Trust,RVR,75,75,50,50,50,50
Frimley Health NHS Foundation Trust,RDU,100,100,100,50,75,100
Gateshead Health NHS Foundation Trust,RR7,100,100,100,75,75,100
George Eliot Hospital NHS Trust,RLT,100,100,100,100,100,100
Gloucestershire Hospitals NHS Foundation Trust,RTE,100,75,75,50,75,75
Great Ormond Street Hospital For Children NHS Foundation Trust,RP4,100,100,100,75,75,100
Great Western Hospitals NHS Foundation Trust,RN3,100,100,100,75,75,75
Guys and St Thomas NHS Foundation Trust,RJ1,100,100,100,50,75,75
Hampshire Hospitals NHS Foundation Trust,RN5,75,100,75,50,75,75
Harrogate and District NHS Foundation Trust,RCD,100,100,100,100,75,100
Heart Of England NHS Foundation Trust,RR1,75,75,75,50,50,75
Hillingdon Hospitals NHS Foundation Trust,RAS,75,100,100,75,100,75
Homerton University Hospital NHS Foundation Trust,RQX,100,75,75,75,75,75
Hull and East Yorkshire Hospitals NHS Trust,RWA,100,100,100,100,50,100
Imperial College Healthcare NHS Trust,RYJ,100,100,100,100,100,100
Ipswich Hospital NHS Trust,RGQ,100,100,100,100,100,100
Isle Of Wight NHS Trust,R1F,25,50,50,75,25,75
James Paget University Hospitals NHS Foundation Trust,RGP,75,100,100,75,75,75
Kettering General Hospital NHS Foundation Trust,RNQ,75,75,75,50,50,25
Kings College Hospital NHS Foundation Trust,RJZ,75,75,75,75,75,100
Kingston Hospital NHS Foundation Trust,RAX,75,100,75,75,75,75
Lancashire Teaching Hospitals NHS Foundation Trust,RXN,100,100,100,100,100,75
Leeds Teaching Hospitals NHS Trust,RR8,100,100,75,25,100,100
Lewisham and Greenwich NHS Trust,RJ2,75,100,75,50,75,75
Liverpool Heart and Chest Hospital NHS Foundation Trust,RBQ,100,100,100,75,100,100
Liverpool Womens NHS Foundation Trust,REP,100,100,100,100,100,100
London North West Healthcare NHS Trust,R1K,75,100,75,75,75,75
Luton and Dunstable University Hospital NHS Foundation Trust,RC9,100,100,100,100,100,100
Maidstone and Tunbridge Wells NHS Trust,RWF,75,100,100,50,75,75
Medway NHS Foundation Trust,RPA,100,100,100,100,100,100
Mid Cheshire Hospitals NHS Foundation Trust,RBT,100,100,100,100,75,50
Mid Essex Hospital Services NHS Trust,RQ8,100,100,100,75,100,100
Mid Yorkshire Hospitals NHS Trust,RXF,25,75,50,25,75,50
Milton Keynes University Hospital NHS Foundation Trust,RD8,100,100,100,75,50,100
Moorfields Eye Hospital NHS Foundation Trust,RP6,75,100,100,75,25,75
Newcastle Upon Tyne Hospitals NHS Foundation Trust,RTD,100,100,100,75,100,100
Norfolk and Norwich University Hospitals NHS Foundation Trust,RM1,50,100,75,25,25,50
North Bristol NHS Trust,RVJ,100,100,75,75,50,75
North Cumbria University Hospitals NHS Trust,RNL,75,75,75,75,75,75
North Middlesex University Hospital NHS Trust,RAP,50,25,50,25,25,25
North Tees and Hartlepool NHS Foundation Trust,RVW,100,100,100,100,100,100
North West Anglia NHS Foundation Trust,RGN,100,75,75,50,100,75
Northampton General Hospital NHS Trust,RNS,75,75,75,50,75,50
Northern Devon Healthcare NHS Trust,RBZ,100,100,100,75,100,100
Northern Lincolnshire and Goole NHS Foundation Trust,RJL,50,50,50,25,50,25
Northumbria Healthcare NHS Foundation Trust,RTF,50,75,75,100,75,75
Nottingham University Hospitals NHS Trust,RX1,100,100,100,75,100,100
Oxford University Hospitals NHS Foundation Trust,RTH,75,75,75,75,75,75
Papworth Hospital NHS Foundation Trust,RGM,100,100,75,100,75,100
Pennine Acute Hospitals NHS Trust,RW6,75,75,100,25,75,100
Plymouth Hospitals NHS Trust,RK9,100,100,100,100,100,100
Poole Hospital NHS Foundation Trust,RD3,75,75,75,75,75,100
Portsmouth Hospitals NHS Trust,RHU,100,100,100,75,75,75
Princess Alexandra Hospital NHS Trust,RQW,100,75,75,25,75,75
Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,RCX,50,75,75,25,50,25
Queen Victoria Hospital NHS Foundation Trust,RPC,75,75,75,25,25,75
Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,RL1,75,75,75,50,75,50
Rotherham NHS Foundation Trust,RFR,100,100,100,25,75,100
Royal Berkshire NHS Foundation Trust,RHW,100,100,75,75,75,75
Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,RDZ,75,75,75,75,75,75
Royal Brompton and Harefield NHS Foundation Trust,RT3,100,100,75,75,100,75
Royal Cornwall Hospitals NHS Trust,REF,100,100,100,75,100,75
Royal Devon and Exeter NHS Foundation Trust,RH8,75,100,100,75,75,75
Royal Free London NHS Foundation Trust,RAL,75,75,100,75,75,75
Royal Liverpool and Broadgreen University Hospitals NHS Trust,RQ6,100,100,100,100,75,75
Royal Marsden NHS Foundation Trust,RPY,100,100,100,100,75,100
Royal National Orthopaedic Hospital NHS Trust,RAN,75,100,75,75,100,100
Royal Orthopaedic Hospital NHS Foundation Trust,RRJ,75,25,50,25,50,50
Royal Surrey County Hospital NHS Foundation Trust,RA2,50,75,75,25,75,50
Royal United Hospitals Bath NHS Foundation Trust,RD1,100,100,100,100,100,100
Royal Wolverhampton NHS Trust,RL4,100,100,100,100,100,100
Salford Royal NHS Foundation Trust,RM3,100,100,100,100,100,100
Salisbury NHS Foundation Trust,RNZ,50,75,25,25,75,50
Sandwell and West Birmingham Hospitals NHS Trust,RXK,75,50,75,25,100,75
Sheffield Childrens NHS Foundation Trust,RCU,75,75,100,75,75,75
Sheffield Teaching Hospitals NHS Foundation Trust,RHQ,75,75,100,50,75,75
Sherwood Forest Hospitals NHS Foundation Trust,RK5,100,100,75,75,75,75
Shrewsbury and Telford Hospital NHS Trust,RXW,75,75,25,25,75,75
South Tees Hospitals NHS Foundation Trust,RTR,100,100,100,75,75,75
South Tyneside NHS Foundation Trust,RE9,100,100,75,25,75,50
South Warwickshire NHS Foundation Trust,RJC,100,100,100,100,100,75
Southend University Hospital NHS Foundation Trust,RAJ,100,100,100,100,100,100
Southport and Ormskirk Hospital NHS Trust,RVY,75,75,50,25,75,50
St Helens and Knowsley Hospitals NHS Trust,RBN,100,100,100,100,100,100
Stockport NHS Foundation Trust,RWJ,100,100,100,75,75,100
Surrey and Sussex Healthcare NHS Trust,RTP,100,100,100,100,75,100
Tameside Hospital NHS Foundation Trust,RMP,100,75,75,50,50,75
Taunton and Somerset NHS Foundation Trust,RBA,100,100,100,100,75,100
Torbay and South Devon NHS Foundation Trust,R1G,75,100,100,100,100,100
United Lincolnshire Hospitals NHS Trust,RWD,75,75,75,75,75,75
University College London Hospitals NHS Foundation Trust,RRV,100,100,75,50,75,75
University Hospital Of South Manchester NHS Foundation Trust,RM2,100,100,100,75,75,75
University Hospital Southampton NHS Foundation Trust,RHM,100,100,100,75,50,100
University Hospitals Birmingham NHS Foundation Trust,RRK,100,100,100,100,100,100
University Hospitals Bristol NHS Foundation Trust,RA7,100,100,100,75,75,100
University Hospitals Coventry and Warwickshire NHS Trust,RKB,100,75,75,50,100,75
University Hospitals Of Leicester NHS Trust,RWE,75,75,100,100,100,100
University Hospitals of Morecambe Bay NHS Foundation Trust,RTX,100,100,100,75,100,100
University Hospitals of North Midlands NHS Trust,RJE,100,100,100,75,100,100
Walsall Healthcare NHS Trust,RBK,75,100,75,75,75,100
Walton Centre NHS Foundation Trust,RET,100,100,100,100,100,100
Warrington and Halton Hospitals NHS Foundation Trust,RWW,100,100,100,100,100,100
West Hertfordshire Hospitals NHS Trust,RWG,75,75,50,25,75,25
West Suffolk NHS Foundation Trust,RGR,100,100,75,75,75,100
Western Sussex Hospitals NHS Foundation Trust,RYR,100,100,100,75,100,100
Weston Area Health NHS Trust,RA3,50,75,75,25,50,75
Whittington Health NHS Trust,RKE,100,100,100,25,75,50
Wirral University Teaching Hospital NHS Foundation Trust,RBL,100,100,75,100,100,75
Worcestershire Acute Hospitals NHS Trust,RWP,100,100,100,100,100,100
"Wrightington, Wigan and Leigh NHS Foundation Trust",RRF,75,100,100,75,100,75
Wye Valley NHS Trust,RLQ,100,75,75,50,75,75
Yeovil District Hospital NHS Foundation Trust,RA4,100,100,100,75,100,100
York Teaching Hospital NHS Foundation Trust,RCB,75,75,100,100,75,75
